"ids","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","temp"
1,-2.0000e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
2,-1.6667e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
3,-1.6667e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
4,-2.0000e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
5,-2.0000e+02,-2.5000e+02,-2.3250e+02,3.0001e+02
6,-1.6667e+02,-2.5000e+02,-2.3250e+02,3.0001e+02
7,-1.6667e+02,-2.2500e+02,-2.3250e+02,3.0001e+02
8,-2.0000e+02,-2.2500e+02,-2.3250e+02,3.0001e+02
9,-1.3333e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
10,-1.3333e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
11,-1.3333e+02,-2.5000e+02,-2.3250e+02,3.0002e+02
12,-1.3333e+02,-2.2500e+02,-2.3250e+02,3.0002e+02
13,-1.0000e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
14,-1.0000e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
15,-1.0000e+02,-2.5000e+02,-2.3250e+02,3.0002e+02
16,-1.0000e+02,-2.2500e+02,-2.3250e+02,3.0003e+02
17,-6.6667e+01,-2.5000e+02,-2.5000e+02,3.0000e+02
18,-6.6667e+01,-2.2500e+02,-2.5000e+02,3.0000e+02
19,-6.6667e+01,-2.5000e+02,-2.3250e+02,3.0004e+02
20,-6.6667e+01,-2.2500e+02,-2.3250e+02,3.0004e+02
21,-3.3333e+01,-2.5000e+02,-2.5000e+02,3.0000e+02
22,-3.3333e+01,-2.2500e+02,-2.5000e+02,3.0000e+02
23,-3.3333e+01,-2.5000e+02,-2.3250e+02,3.0005e+02
24,-3.3333e+01,-2.2500e+02,-2.3250e+02,3.0006e+02
25,0.0000e+00,-2.5000e+02,-2.5000e+02,3.0000e+02
26,0.0000e+00,-2.2500e+02,-2.5000e+02,3.0000e+02
27,0.0000e+00,-2.5000e+02,-2.3250e+02,3.0006e+02
28,0.0000e+00,-2.2500e+02,-2.3250e+02,3.0007e+02
29,3.3333e+01,-2.5000e+02,-2.5000e+02,3.0000e+02
30,3.3333e+01,-2.2500e+02,-2.5000e+02,3.0000e+02
31,3.3333e+01,-2.5000e+02,-2.3250e+02,3.0007e+02
32,3.3333e+01,-2.2500e+02,-2.3250e+02,3.0008e+02
33,6.6667e+01,-2.5000e+02,-2.5000e+02,3.0000e+02
34,6.6667e+01,-2.2500e+02,-2.5000e+02,3.0000e+02
35,6.6667e+01,-2.5000e+02,-2.3250e+02,3.0007e+02
36,6.6667e+01,-2.2500e+02,-2.3250e+02,3.0008e+02
37,1.0000e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
38,1.0000e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
39,1.0000e+02,-2.5000e+02,-2.3250e+02,3.0007e+02
40,1.0000e+02,-2.2500e+02,-2.3250e+02,3.0008e+02
41,1.3333e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
42,1.3333e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
43,1.3333e+02,-2.5000e+02,-2.3250e+02,3.0006e+02
44,1.3333e+02,-2.2500e+02,-2.3250e+02,3.0007e+02
45,1.6667e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
46,1.6667e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
47,1.6667e+02,-2.5000e+02,-2.3250e+02,3.0005e+02
48,1.6667e+02,-2.2500e+02,-2.3250e+02,3.0006e+02
49,2.0000e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
50,2.0000e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
51,2.0000e+02,-2.5000e+02,-2.3250e+02,3.0004e+02
52,2.0000e+02,-2.2500e+02,-2.3250e+02,3.0004e+02
53,2.3333e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
54,2.3333e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
55,2.3333e+02,-2.5000e+02,-2.3250e+02,3.0003e+02
56,2.3333e+02,-2.2500e+02,-2.3250e+02,3.0003e+02
57,2.6667e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
58,2.6667e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
59,2.6667e+02,-2.5000e+02,-2.3250e+02,3.0002e+02
60,2.6667e+02,-2.2500e+02,-2.3250e+02,3.0002e+02
61,3.0000e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
62,3.0000e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
63,3.0000e+02,-2.5000e+02,-2.3250e+02,3.0001e+02
64,3.0000e+02,-2.2500e+02,-2.3250e+02,3.0001e+02
65,3.3333e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
66,3.3333e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
67,3.3333e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
68,3.3333e+02,-2.2500e+02,-2.3250e+02,3.0001e+02
69,3.6667e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
70,3.6667e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
71,3.6667e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
72,3.6667e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
73,4.0000e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
74,4.0000e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
75,4.0000e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
76,4.0000e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
77,4.3333e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
78,4.3333e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
79,4.3333e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
80,4.3333e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
81,4.6667e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
82,4.6667e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
83,4.6667e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
84,4.6667e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
85,5.0000e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
86,5.0000e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
87,5.0000e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
88,5.0000e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
89,5.3333e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
90,5.3333e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
91,5.3333e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
92,5.3333e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
93,5.6667e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
94,5.6667e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
95,5.6667e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
96,5.6667e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
97,6.0000e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
98,6.0000e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
99,6.0000e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
100,6.0000e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
101,6.3333e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
102,6.3333e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
103,6.3333e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
104,6.3333e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
105,6.6667e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
106,6.6667e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
107,6.6667e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
108,6.6667e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
109,7.0000e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
110,7.0000e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
111,7.0000e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
112,7.0000e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
113,7.3333e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
114,7.3333e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
115,7.3333e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
116,7.3333e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
117,7.6667e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
118,7.6667e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
119,7.6667e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
120,7.6667e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
121,8.0000e+02,-2.5000e+02,-2.5000e+02,3.0000e+02
122,8.0000e+02,-2.2500e+02,-2.5000e+02,3.0000e+02
123,8.0000e+02,-2.5000e+02,-2.3250e+02,3.0000e+02
124,8.0000e+02,-2.2500e+02,-2.3250e+02,3.0000e+02
125,-1.6667e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
126,-2.0000e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
127,-1.6667e+02,-2.0000e+02,-2.3250e+02,3.0002e+02
128,-2.0000e+02,-2.0000e+02,-2.3250e+02,3.0001e+02
129,-1.3333e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
130,-1.3333e+02,-2.0000e+02,-2.3250e+02,3.0003e+02
131,-1.0000e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
132,-1.0000e+02,-2.0000e+02,-2.3250e+02,3.0004e+02
133,-6.6667e+01,-2.0000e+02,-2.5000e+02,3.0000e+02
134,-6.6667e+01,-2.0000e+02,-2.3250e+02,3.0006e+02
135,-3.3333e+01,-2.0000e+02,-2.5000e+02,3.0000e+02
136,-3.3333e+01,-2.0000e+02,-2.3250e+02,3.0008e+02
137,0.0000e+00,-2.0000e+02,-2.5000e+02,3.0000e+02
138,0.0000e+00,-2.0000e+02,-2.3250e+02,3.0010e+02
139,3.3333e+01,-2.0000e+02,-2.5000e+02,3.0000e+02
140,3.3333e+01,-2.0000e+02,-2.3250e+02,3.0011e+02
141,6.6667e+01,-2.0000e+02,-2.5000e+02,3.0000e+02
142,6.6667e+01,-2.0000e+02,-2.3250e+02,3.0012e+02
143,1.0000e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
144,1.0000e+02,-2.0000e+02,-2.3250e+02,3.0012e+02
145,1.3333e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
146,1.3333e+02,-2.0000e+02,-2.3250e+02,3.0010e+02
147,1.6667e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
148,1.6667e+02,-2.0000e+02,-2.3250e+02,3.0009e+02
149,2.0000e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
150,2.0000e+02,-2.0000e+02,-2.3250e+02,3.0007e+02
151,2.3333e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
152,2.3333e+02,-2.0000e+02,-2.3250e+02,3.0005e+02
153,2.6667e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
154,2.6667e+02,-2.0000e+02,-2.3250e+02,3.0003e+02
155,3.0000e+02,-2.0000e+02,-2.5000e+02,3.0000e+02
156,3.0000e+02,-2.0000e+02,-2.3250e+02,3.0002e+02
